layer,l2_distance
conv1.weight,9.035551071166992
bn1.weight,1.0302797555923462
bn1.bias,0.8790586590766907
layer1.0.conv1.weight,6.301719665527344
layer1.0.bn1.weight,0.5013328194618225
layer1.0.bn1.bias,0.663177490234375
layer1.0.conv2.weight,5.465341091156006
layer1.0.bn2.weight,0.6003075838088989
layer1.0.bn2.bias,0.42252886295318604
layer1.1.conv1.weight,4.683830738067627
layer1.1.bn1.weight,0.4055134654045105
layer1.1.bn1.bias,0.34129440784454346
layer1.1.conv2.weight,4.3520121574401855
layer1.1.bn2.weight,0.37217575311660767
layer1.1.bn2.bias,0.28535196185112
layer2.0.conv1.weight,5.547741413116455
layer2.0.bn1.weight,0.47867926955223083
layer2.0.bn1.bias,0.297434538602829
layer2.0.conv2.weight,6.679165363311768
layer2.0.bn2.weight,0.4999885857105255
layer2.0.bn2.bias,0.2929101288318634
layer2.0.downsample.0.weight,3.1426663398742676
layer2.0.downsample.1.weight,0.6601963043212891
layer2.0.downsample.1.bias,0.2929101288318634
layer2.1.conv1.weight,6.104337215423584
layer2.1.bn1.weight,0.48462948203086853
layer2.1.bn1.bias,0.3102118968963623
layer2.1.conv2.weight,5.7924394607543945
layer2.1.bn2.weight,0.3864012658596039
layer2.1.bn2.bias,0.2407858520746231
layer3.0.conv1.weight,7.662872791290283
layer3.0.bn1.weight,0.6262405514717102
layer3.0.bn1.bias,0.2622915208339691
layer3.0.conv2.weight,9.044453620910645
layer3.0.bn2.weight,0.5739511847496033
layer3.0.bn2.bias,0.23729048669338226
layer3.0.downsample.0.weight,3.5807576179504395
layer3.0.downsample.1.weight,0.8302121162414551
layer3.0.downsample.1.bias,0.23729048669338226
layer3.1.conv1.weight,8.17542552947998
layer3.1.bn1.weight,0.5736787915229797
layer3.1.bn1.bias,0.23019658029079437
layer3.1.conv2.weight,7.818922519683838
layer3.1.bn2.weight,0.401793897151947
layer3.1.bn2.bias,0.19975198805332184
layer4.0.conv1.weight,10.270687103271484
layer4.0.bn1.weight,0.7812609672546387
layer4.0.bn1.bias,0.2574658691883087
layer4.0.conv2.weight,10.234835624694824
layer4.0.bn2.weight,0.48356980085372925
layer4.0.bn2.bias,0.5204839706420898
layer4.0.downsample.0.weight,4.71685266494751
layer4.0.downsample.1.weight,0.588821530342102
layer4.0.downsample.1.bias,0.5204839706420898
layer4.1.conv1.weight,9.653214454650879
layer4.1.bn1.weight,0.759243369102478
layer4.1.bn1.bias,0.21732257306575775
layer4.1.conv2.weight,8.304695129394531
layer4.1.bn2.weight,1.0333014726638794
layer4.1.bn2.bias,0.8840681910514832
fc.weight,11.399877548217773
fc.bias,0.03726916015148163
