layer_name,l2_distance,num_params,round,tag
layer4.0.conv1.weight,9.69385051727295,1179648,1,oracle_vs_full
layer4.0.bn1.weight,6.920114040374756,512,1,oracle_vs_full
layer4.0.bn1.bias,0.7171131372451782,512,1,oracle_vs_full
layer4.0.bn1.running_mean,11.391348838806152,512,1,oracle_vs_full
layer4.0.bn1.running_var,18.4493408203125,512,1,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.conv2.weight,11.953346252441406,2359296,1,oracle_vs_full
layer4.0.bn2.weight,6.706679344177246,512,1,oracle_vs_full
layer4.0.bn2.bias,0.8426646590232849,512,1,oracle_vs_full
layer4.0.bn2.running_mean,5.117822647094727,512,1,oracle_vs_full
layer4.0.bn2.running_var,9.293986320495605,512,1,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.downsample.0.weight,7.56201696395874,131072,1,oracle_vs_full
layer4.0.downsample.1.weight,6.682196617126465,512,1,oracle_vs_full
layer4.0.downsample.1.bias,0.8426646590232849,512,1,oracle_vs_full
layer4.0.downsample.1.running_mean,10.631319046020508,512,1,oracle_vs_full
layer4.0.downsample.1.running_var,20.595849990844727,512,1,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.1.conv1.weight,11.79934310913086,2359296,1,oracle_vs_full
layer4.1.bn1.weight,6.910759925842285,512,1,oracle_vs_full
layer4.1.bn1.bias,0.5079057216644287,512,1,oracle_vs_full
layer4.1.bn1.running_mean,5.824889183044434,512,1,oracle_vs_full
layer4.1.bn1.running_var,13.210813522338867,512,1,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.1.conv2.weight,11.649858474731445,2359296,1,oracle_vs_full
layer4.1.bn2.weight,6.03699254989624,512,1,oracle_vs_full
layer4.1.bn2.bias,0.9603474736213684,512,1,oracle_vs_full
layer4.1.bn2.running_mean,7.1381378173828125,512,1,oracle_vs_full
layer4.1.bn2.running_var,8.336517333984375,512,1,oracle_vs_full
layer4.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
fc.weight,10.790722846984863,102400,1,oracle_vs_full
fc.bias,0.12245742231607437,200,1,oracle_vs_full
conv1.weight,7.676835060119629,9408,2,oracle_vs_full
bn1.weight,2.0714685916900635,64,2,oracle_vs_full
bn1.bias,0.9756098389625549,64,2,oracle_vs_full
bn1.running_mean,1.0753751993179321,64,2,oracle_vs_full
bn1.running_var,19.37845802307129,64,2,oracle_vs_full
bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.0.conv1.weight,5.808375835418701,36864,2,oracle_vs_full
layer1.0.bn1.weight,2.409632444381714,64,2,oracle_vs_full
layer1.0.bn1.bias,0.5435444116592407,64,2,oracle_vs_full
layer1.0.bn1.running_mean,9.721709251403809,64,2,oracle_vs_full
layer1.0.bn1.running_var,8.393192291259766,64,2,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.0.conv2.weight,5.389793395996094,36864,2,oracle_vs_full
layer1.0.bn2.weight,2.5964317321777344,64,2,oracle_vs_full
layer1.0.bn2.bias,0.4331168532371521,64,2,oracle_vs_full
layer1.0.bn2.running_mean,3.763355016708374,64,2,oracle_vs_full
layer1.0.bn2.running_var,4.116772174835205,64,2,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.1.conv1.weight,4.886425495147705,36864,2,oracle_vs_full
layer1.1.bn1.weight,2.410922050476074,64,2,oracle_vs_full
layer1.1.bn1.bias,0.43720686435699463,64,2,oracle_vs_full
layer1.1.bn1.running_mean,10.23066520690918,64,2,oracle_vs_full
layer1.1.bn1.running_var,6.953407287597656,64,2,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.1.conv2.weight,4.678004264831543,36864,2,oracle_vs_full
layer1.1.bn2.weight,2.720985174179077,64,2,oracle_vs_full
layer1.1.bn2.bias,0.22242283821105957,64,2,oracle_vs_full
layer1.1.bn2.running_mean,3.8316876888275146,64,2,oracle_vs_full
layer1.1.bn2.running_var,3.7567410469055176,64,2,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.conv1.weight,5.283546447753906,73728,2,oracle_vs_full
layer2.0.bn1.weight,3.384767532348633,128,2,oracle_vs_full
layer2.0.bn1.bias,0.43794700503349304,128,2,oracle_vs_full
layer2.0.bn1.running_mean,11.923418998718262,128,2,oracle_vs_full
layer2.0.bn1.running_var,6.767247676849365,128,2,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.conv2.weight,6.841989040374756,147456,2,oracle_vs_full
layer2.0.bn2.weight,3.4432761669158936,128,2,oracle_vs_full
layer2.0.bn2.bias,0.3130723834037781,128,2,oracle_vs_full
layer2.0.bn2.running_mean,5.234099388122559,128,2,oracle_vs_full
layer2.0.bn2.running_var,5.62730073928833,128,2,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.downsample.0.weight,4.094296932220459,8192,2,oracle_vs_full
layer2.0.downsample.1.weight,3.1142914295196533,128,2,oracle_vs_full
layer2.0.downsample.1.bias,0.3130723834037781,128,2,oracle_vs_full
layer2.0.downsample.1.running_mean,5.121514320373535,128,2,oracle_vs_full
layer2.0.downsample.1.running_var,9.753609657287598,128,2,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.1.conv1.weight,6.502073287963867,147456,2,oracle_vs_full
layer2.1.bn1.weight,3.3999760150909424,128,2,oracle_vs_full
layer2.1.bn1.bias,0.5410467386245728,128,2,oracle_vs_full
layer2.1.bn1.running_mean,7.230276107788086,128,2,oracle_vs_full
layer2.1.bn1.running_var,10.349530220031738,128,2,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.1.conv2.weight,6.2788519859313965,147456,2,oracle_vs_full
layer2.1.bn2.weight,3.575787305831909,128,2,oracle_vs_full
layer2.1.bn2.bias,0.34482163190841675,128,2,oracle_vs_full
layer2.1.bn2.running_mean,4.00681209564209,128,2,oracle_vs_full
layer2.1.bn2.running_var,5.683152675628662,128,2,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.conv1.weight,7.230566501617432,294912,2,oracle_vs_full
layer3.0.bn1.weight,4.779881477355957,256,2,oracle_vs_full
layer3.0.bn1.bias,0.6158515214920044,256,2,oracle_vs_full
layer3.0.bn1.running_mean,9.201152801513672,256,2,oracle_vs_full
layer3.0.bn1.running_var,9.355741500854492,256,2,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.conv2.weight,9.174653053283691,589824,2,oracle_vs_full
layer3.0.bn2.weight,4.593124866485596,256,2,oracle_vs_full
layer3.0.bn2.bias,0.5084437727928162,256,2,oracle_vs_full
layer3.0.bn2.running_mean,5.11521577835083,256,2,oracle_vs_full
layer3.0.bn2.running_var,7.152890682220459,256,2,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.downsample.0.weight,5.348550319671631,32768,2,oracle_vs_full
layer3.0.downsample.1.weight,4.716306686401367,256,2,oracle_vs_full
layer3.0.downsample.1.bias,0.5084437727928162,256,2,oracle_vs_full
layer3.0.downsample.1.running_mean,7.568625450134277,256,2,oracle_vs_full
layer3.0.downsample.1.running_var,14.085480690002441,256,2,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.1.conv1.weight,8.607025146484375,589824,2,oracle_vs_full
layer3.1.bn1.weight,4.7780280113220215,256,2,oracle_vs_full
layer3.1.bn1.bias,0.5960240960121155,256,2,oracle_vs_full
layer3.1.bn1.running_mean,7.908148765563965,256,2,oracle_vs_full
layer3.1.bn1.running_var,13.978466033935547,256,2,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.1.conv2.weight,8.408332824707031,589824,2,oracle_vs_full
layer3.1.bn2.weight,5.0162787437438965,256,2,oracle_vs_full
layer3.1.bn2.bias,0.493745893239975,256,2,oracle_vs_full
layer3.1.bn2.running_mean,5.871260643005371,256,2,oracle_vs_full
layer3.1.bn2.running_var,7.813713550567627,256,2,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.conv1.weight,9.585437774658203,1179648,2,oracle_vs_full
layer4.0.bn1.weight,6.751399517059326,512,2,oracle_vs_full
layer4.0.bn1.bias,0.7194000482559204,512,2,oracle_vs_full
layer4.0.bn1.running_mean,12.121681213378906,512,2,oracle_vs_full
layer4.0.bn1.running_var,19.110567092895508,512,2,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.conv2.weight,11.759451866149902,2359296,2,oracle_vs_full
layer4.0.bn2.weight,6.500876426696777,512,2,oracle_vs_full
layer4.0.bn2.bias,0.7887032628059387,512,2,oracle_vs_full
layer4.0.bn2.running_mean,5.045980930328369,512,2,oracle_vs_full
layer4.0.bn2.running_var,9.766526222229004,512,2,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.downsample.0.weight,7.405660152435303,131072,2,oracle_vs_full
layer4.0.downsample.1.weight,6.477869510650635,512,2,oracle_vs_full
layer4.0.downsample.1.bias,0.7887032628059387,512,2,oracle_vs_full
layer4.0.downsample.1.running_mean,10.458168983459473,512,2,oracle_vs_full
layer4.0.downsample.1.running_var,21.632343292236328,512,2,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.1.conv1.weight,11.603592872619629,2359296,2,oracle_vs_full
layer4.1.bn1.weight,6.741987228393555,512,2,oracle_vs_full
layer4.1.bn1.bias,0.5097889304161072,512,2,oracle_vs_full
layer4.1.bn1.running_mean,5.509212017059326,512,2,oracle_vs_full
layer4.1.bn1.running_var,11.485220909118652,512,2,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.1.conv2.weight,11.430861473083496,2359296,2,oracle_vs_full
layer4.1.bn2.weight,5.820504665374756,512,2,oracle_vs_full
layer4.1.bn2.bias,0.8615898489952087,512,2,oracle_vs_full
layer4.1.bn2.running_mean,6.362764835357666,512,2,oracle_vs_full
layer4.1.bn2.running_var,8.135408401489258,512,2,oracle_vs_full
layer4.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
fc.weight,10.631654739379883,102400,2,oracle_vs_full
fc.bias,0.1195809617638588,200,2,oracle_vs_full
conv1.weight,7.609507083892822,9408,3,oracle_vs_full
bn1.weight,2.0431225299835205,64,3,oracle_vs_full
bn1.bias,0.944921612739563,64,3,oracle_vs_full
bn1.running_mean,1.1111667156219482,64,3,oracle_vs_full
bn1.running_var,21.449085235595703,64,3,oracle_vs_full
bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer1.0.conv1.weight,5.773777961730957,36864,3,oracle_vs_full
layer1.0.bn1.weight,2.3503000736236572,64,3,oracle_vs_full
layer1.0.bn1.bias,0.542860746383667,64,3,oracle_vs_full
layer1.0.bn1.running_mean,10.154438972473145,64,3,oracle_vs_full
layer1.0.bn1.running_var,9.212308883666992,64,3,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer1.0.conv2.weight,5.342662334442139,36864,3,oracle_vs_full
layer1.0.bn2.weight,2.5232298374176025,64,3,oracle_vs_full
layer1.0.bn2.bias,0.4252520799636841,64,3,oracle_vs_full
layer1.0.bn2.running_mean,3.96354341506958,64,3,oracle_vs_full
layer1.0.bn2.running_var,3.7815158367156982,64,3,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer1.1.conv1.weight,4.837351322174072,36864,3,oracle_vs_full
layer1.1.bn1.weight,2.35191011428833,64,3,oracle_vs_full
layer1.1.bn1.bias,0.44192126393318176,64,3,oracle_vs_full
layer1.1.bn1.running_mean,10.498162269592285,64,3,oracle_vs_full
layer1.1.bn1.running_var,7.691015720367432,64,3,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer1.1.conv2.weight,4.62264347076416,36864,3,oracle_vs_full
layer1.1.bn2.weight,2.6451992988586426,64,3,oracle_vs_full
layer1.1.bn2.bias,0.22513417899608612,64,3,oracle_vs_full
layer1.1.bn2.running_mean,3.726973056793213,64,3,oracle_vs_full
layer1.1.bn2.running_var,3.911990165710449,64,3,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer2.0.conv1.weight,5.245237827301025,73728,3,oracle_vs_full
layer2.0.bn1.weight,3.3010449409484863,128,3,oracle_vs_full
layer2.0.bn1.bias,0.44423678517341614,128,3,oracle_vs_full
layer2.0.bn1.running_mean,12.17525577545166,128,3,oracle_vs_full
layer2.0.bn1.running_var,7.344854354858398,128,3,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
