model,threshold,member_mean_conf,nonmember_mean_conf,mia_acc
full,0.5,0.3300623592353287,0.33640590067766607,0.505003335557038
oracle,0.5,0.2837447176986931,0.3447911039851606,0.46528454867347463
unlearn,0.5,0.4033952992512741,0.47175600842386484,0.4521475855698671
