fc_weight_l2_distance,fc_bias_l2_distance,round,tag
10.790722846984863,0.12245742231607437,1,oracle_vs_full
10.631654739379883,0.1195809617638588,2,oracle_vs_full
10.436238288879395,0.11681342869997025,3,oracle_vs_full
10.23328685760498,0.11321987211704254,4,oracle_vs_full
10.03712272644043,0.11058414727449417,5,oracle_vs_full
9.861610412597656,0.10729087144136429,6,oracle_vs_full
9.710429191589355,0.10477763414382935,7,oracle_vs_full
9.576211929321289,0.10173137485980988,8,oracle_vs_full
9.460657119750977,0.0984562486410141,9,oracle_vs_full
9.357992172241211,0.09571138024330139,10,oracle_vs_full
9.271166801452637,0.09323222190141678,11,oracle_vs_full
9.196227073669434,0.09100686013698578,12,oracle_vs_full
9.131772994995117,0.08780715614557266,13,oracle_vs_full
9.07631778717041,0.08556860685348511,14,oracle_vs_full
9.027867317199707,0.08317501097917557,15,oracle_vs_full
8.98873233795166,0.0805397629737854,16,oracle_vs_full
8.957514762878418,0.07822190225124359,17,oracle_vs_full
8.93140697479248,0.07512285560369492,18,oracle_vs_full
8.912261962890625,0.07332251220941544,19,oracle_vs_full
8.897768020629883,0.07117181271314621,20,oracle_vs_full
8.889890670776367,0.06895952671766281,21,oracle_vs_full
8.888915061950684,0.0663546696305275,22,oracle_vs_full
8.89034652709961,0.06459922343492508,23,oracle_vs_full
8.898730278015137,0.06264568120241165,24,oracle_vs_full
8.91037654876709,0.06022016704082489,25,oracle_vs_full
8.926334381103516,0.05859333649277687,26,oracle_vs_full
8.94570541381836,0.056470394134521484,27,oracle_vs_full
8.968367576599121,0.05395118147134781,28,oracle_vs_full
8.992199897766113,0.05249890685081482,29,oracle_vs_full
9.0202054977417,0.05023529380559921,30,oracle_vs_full
9.052492141723633,0.04845333844423294,31,oracle_vs_full
9.084610939025879,0.04683227837085724,32,oracle_vs_full
9.120307922363281,0.04436659440398216,33,oracle_vs_full
9.15982723236084,0.043367527425289154,34,oracle_vs_full
9.200101852416992,0.04176574572920799,35,oracle_vs_full
9.242596626281738,0.04002253711223602,36,oracle_vs_full
9.287932395935059,0.038470979779958725,37,oracle_vs_full
9.335618019104004,0.037568770349025726,38,oracle_vs_full
9.384716987609863,0.03597179800271988,39,oracle_vs_full
9.437468528747559,0.03403298184275627,40,oracle_vs_full
9.48979377746582,0.033587850630283356,41,oracle_vs_full
9.545548439025879,0.03260218724608421,42,oracle_vs_full
9.602448463439941,0.030959846451878548,43,oracle_vs_full
9.659473419189453,0.030209895223379135,44,oracle_vs_full
9.71809196472168,0.030248939990997314,45,oracle_vs_full
9.779354095458984,0.02998199500143528,46,oracle_vs_full
9.840142250061035,0.029143229126930237,47,oracle_vs_full
9.903021812438965,0.028536949306726456,48,oracle_vs_full
9.968314170837402,0.028350941836833954,49,oracle_vs_full
10.03226375579834,0.028872821480035782,50,oracle_vs_full
