model,val_acc,forget_acc,retain_acc,mia_acc,distance_to_oracle
full,35.95,42.73215979761779,44.839967739440745,0.505003335557038,32.33475897430618
oracle,34.83,21.429324338568566,46.46846309369925,0.46528454867347463,32.33475897430618
unlearn,40.24,26.077790660904395,67.00363483698474,0.4521475855698671,34.14461225948456
