round,avg_client_train_loss,avg_client_train_acc,oracle_val_loss,oracle_val_acc,oracle_to_full_l2,oracle_update_norm
1,3.689020023657326,13.617757070231518,5.424553498840332,0.5,34618.82421875,714.0026245117188
2,3.5425449759925645,16.191937236560207,5.41207085647583,0.58,33907.75390625,711.6498413085938
3,3.3675522505025763,19.473530578723867,5.061356309509278,2.57,33196.6875,711.2260131835938
4,3.1761473758794607,23.124860342188153,4.755338358306885,5.12,32485.619140625,711.1412963867188
5,2.9937551079281115,26.462289600358524,4.494317111968994,7.88,31774.55078125,711.13330078125
6,2.8654197422798138,29.14915014131132,4.317682036590576,9.64,31063.48046875,711.118408203125
7,2.749917587305836,31.37762273148112,4.106292185211181,12.65,30352.412109375,711.1082763671875
8,2.6596861057725345,33.17366589643446,3.988317798614502,14.18,29641.341796875,711.103515625
9,2.581423091120725,34.78628140752498,3.876816445541382,15.84,28930.271484375,711.1010131835938
10,2.5104873422660936,36.33227532101291,3.8147699172973635,16.28,28219.19921875,711.0974731445312
11,2.4514348257802387,37.378205392078186,3.7099582317352295,17.83,27508.130859375,711.097412109375
12,2.397696704151409,38.61852064731688,3.6443670471191405,19.2,26797.060546875,711.0941772460938
13,2.3446329100395795,39.82496341186718,3.6144058326721193,18.85,26085.9921875,711.093017578125
14,2.300050671257726,40.634817094709945,3.5312235794067384,20.67,25374.9296875,711.0935668945312
15,2.257483274405821,41.77095063371616,3.4764741580963134,21.24,24663.857421875,711.0906372070312
16,2.2187931743548126,42.34672965934653,3.442953890609741,22.42,23952.7890625,711.0910034179688
17,2.173667873022688,43.56785010731218,3.3971621284484863,22.53,23241.720703125,711.0888671875
18,2.1478629858903364,44.16610296938128,3.349013047409058,23.39,22530.650390625,711.0875244140625
19,2.1043362963427774,45.05547421047707,3.307173839187622,24.41,21819.580078125,711.087158203125
20,2.07968699727485,45.6972228229832,3.279770863723755,25.15,21108.509765625,711.0867919921875
21,2.042377316571026,46.53781332458992,3.2365639678955076,25.54,20397.44140625,711.0858154296875
22,2.0152917297641393,47.20565050490197,3.223037968826294,25.96,19686.373046875,711.0869750976562
23,1.9779588415762812,47.97457017320014,3.17707329788208,26.44,18975.3046875,711.0849609375
24,1.9502321284384374,48.53639759030883,3.1505217555999754,27.35,18264.240234375,711.0831909179688
25,1.9292932027306275,49.08427835054208,3.114399341201782,28.1,17553.171875,711.0850219726562
26,1.900690960558651,49.81523964789242,3.0854135234832762,27.97,16842.1015625,711.0829467773438
27,1.8707546252481246,50.655484233165375,3.085011084938049,28.1,16131.0341796875,711.0833740234375
28,1.8511325871612803,50.93891645789937,3.0529487937927247,28.71,15419.9658203125,711.0831298828125
29,1.8230710442563942,51.55495425361884,3.0497098819732664,28.93,14708.896484375,711.0828857421875
30,1.802136645552123,52.15883208338044,3.022583908081055,29.35,13997.828125,711.0820922851562
31,1.7801375525361725,52.51121067464926,2.996425401496887,30.06,13286.76171875,711.082275390625
32,1.7573843338599469,52.95992036908707,2.974399500656128,30.37,12575.6982421875,711.0817260742188
33,1.734051286886355,53.68133972295435,2.968160871696472,30.75,11864.630859375,711.0811157226562
34,1.710739419650644,54.08272493320616,2.94585929851532,30.96,11153.564453125,711.0806274414062
35,1.6876365435839467,54.91726016691288,2.9350745918273926,31.5,10442.49609375,711.0807495117188
36,1.6733462606714067,55.110994876463955,2.9165551553726194,31.49,9731.4306640625,711.0809936523438
37,1.6484088376442692,55.52301677409807,2.902724771308899,32.02,9020.3720703125,711.080810546875
38,1.6290411687928732,56.178890640359526,2.8948894386291504,32.21,8309.306640625,711.0805053710938
39,1.6078723456247135,56.61016316498141,2.884920098876953,32.35,7598.2431640625,711.0814208984375
40,1.592898988887516,57.11614560100226,2.8557183183670043,33.05,6887.18212890625,711.0795288085938
41,1.569011233498139,57.39389135098361,2.86993797454834,32.39,6176.12744140625,711.0794677734375
42,1.5557627019709135,57.7676196318018,2.839377026176453,33.37,5465.0693359375,711.0798950195312
43,1.5337927148602784,58.41430439190388,2.8347692533493043,33.2,4754.01806640625,711.078857421875
44,1.5193352108689662,58.58654444201855,2.841786138725281,32.99,4042.976806640625,711.0794677734375
45,1.5008993505118267,59.0663612732422,2.821515308189392,33.82,3331.941650390625,711.0789794921875
46,1.4807196587700346,59.67063882205793,2.7999292966842653,34.55,2620.929443359375,711.0787353515625
47,1.467304979937735,59.90510995690809,2.796364298248291,34.19,1909.9576416015625,711.0784301757812
48,1.4414150636739647,60.605439076809716,2.793635422897339,34.57,1199.1094970703125,711.0789184570312
49,1.4274897485170817,61.03472573326318,2.7698298416137694,34.53,489.13433837890625,711.0776977539062
50,1.410483207926835,61.21352301241396,2.765702421569824,34.83,227.8433074951172,711.0781860351562
