model,split,loss,acc
full,forget_train_subset,2.2987514781951903,42.73215979761779
full,retain_train_subset,2.213787205475198,44.839967739440745
oracle,forget_train_subset,3.4275994396209715,21.429324338568566
oracle,retain_train_subset,2.1249438002284635,46.46846309369925
unlearn,forget_train_subset,3.0709253915150962,26.077790660904395
unlearn,retain_train_subset,1.29060021640554,67.00363483698474
