model,threshold,member_mean_conf,nonmember_mean_conf,member_acc,nonmember_acc,mia_acc
full_ckks,0.11913141692243517,0.1141395502500236,0.12412328359484673,0.342,0.677,0.5095000000000001
oracle_ckks,0.3256393574662506,0.28659098325669763,0.36468773167580365,0.32,0.568,0.44399999999999995
unlearn_ckks,0.1705220349933952,0.1575788923613727,0.1834651776254177,0.324,0.652,0.488
