model,threshold,member_mean_conf,nonmember_mean_conf,mia_acc
full,0.5,0.3309474563840464,0.33640590067766607,0.5003297651057785
oracle,0.5,0.2788996168206746,0.338357424018532,0.4612145502511288
unlearn,0.5,0.451529851993683,0.51201936240457,0.45898229415047437
