model,split,loss,acc
full,forget,2.304630524233768,41.561116259911444
full,retain,2.2113756371962787,44.957857546323474
oracle,forget,3.5621280764278613,17.207290701266604
oracle,retain,2.1784932719749364,45.29787681777404
unlearn,forget,3.619940243269268,22.912161466378333
unlearn,retain,1.567376794963653,58.9086156674678
