round,train_loss,train_acc,val_loss,val_acc
1,2.6978375420850864,35.01533963162733,3.0986440724964384,29.51
2,2.526902362778202,38.37455282481808,2.9335307320462,32.92
3,2.3644087532578757,41.99625646535015,2.7509468190277677,35.69
4,2.2339960067175872,44.58571919059908,2.7479850506480736,36.19
5,2.126902956222491,47.061103788944386,2.6861039732075946,37.55
6,2.0263139221534754,49.0812834343054,2.673780335655695,38.11
7,1.9463002024433615,50.588665285915226,2.734462701821629,37.95
8,1.8525895772463543,52.756149697083806,2.682535702669168,38.57
9,1.7826135962842458,54.182680060694,2.702515000029455,38.25
10,1.7142801382370996,55.721073441947524,2.759734189963039,37.81
