layer,l2_distance
conv1.weight,9.093969345092773
bn1.weight,1.09506356716156
bn1.bias,0.9786257147789001
layer1.0.conv1.weight,6.355360984802246
layer1.0.bn1.weight,0.5886968374252319
layer1.0.bn1.bias,0.6112670302391052
layer1.0.conv2.weight,5.489391803741455
layer1.0.bn2.weight,0.6921494603157043
layer1.0.bn2.bias,0.4920159876346588
layer1.1.conv1.weight,4.783782958984375
layer1.1.bn1.weight,0.5286505818367004
layer1.1.bn1.bias,0.3228379786014557
layer1.1.conv2.weight,4.30440616607666
layer1.1.bn2.weight,0.5222769379615784
layer1.1.bn2.bias,0.2990666627883911
layer2.0.conv1.weight,5.58132791519165
layer2.0.bn1.weight,0.6324557662010193
layer2.0.bn1.bias,0.2700851857662201
layer2.0.conv2.weight,6.731673240661621
layer2.0.bn2.weight,0.6540794968605042
layer2.0.bn2.bias,0.2879394292831421
layer2.0.downsample.0.weight,3.1684091091156006
layer2.0.downsample.1.weight,0.8004432916641235
layer2.0.downsample.1.bias,0.2879394292831421
layer2.1.conv1.weight,6.118009567260742
layer2.1.bn1.weight,0.6442080736160278
layer2.1.bn1.bias,0.29670771956443787
layer2.1.conv2.weight,5.8545241355896
layer2.1.bn2.weight,0.4472835958003998
layer2.1.bn2.bias,0.24092966318130493
layer3.0.conv1.weight,7.740235805511475
layer3.0.bn1.weight,0.8013687133789062
layer3.0.bn1.bias,0.2946814000606537
layer3.0.conv2.weight,9.234492301940918
layer3.0.bn2.weight,0.7337221503257751
layer3.0.bn2.bias,0.26235729455947876
layer3.0.downsample.0.weight,3.691877603530884
layer3.0.downsample.1.weight,1.1934250593185425
layer3.0.downsample.1.bias,0.26235729455947876
layer3.1.conv1.weight,8.43453598022461
layer3.1.bn1.weight,0.7957342863082886
layer3.1.bn1.bias,0.286631315946579
layer3.1.conv2.weight,8.118034362792969
layer3.1.bn2.weight,0.5027067065238953
layer3.1.bn2.bias,0.2092544287443161
layer4.0.conv1.weight,10.690512657165527
layer4.0.bn1.weight,1.0964407920837402
layer4.0.bn1.bias,0.35031747817993164
layer4.0.conv2.weight,10.661166191101074
layer4.0.bn2.weight,0.5023137331008911
layer4.0.bn2.bias,0.6391232013702393
layer4.0.downsample.0.weight,4.872929573059082
layer4.0.downsample.1.weight,0.7780823707580566
layer4.0.downsample.1.bias,0.6391232013702393
layer4.1.conv1.weight,10.04506778717041
layer4.1.bn1.weight,1.0712218284606934
layer4.1.bn1.bias,0.27296486496925354
layer4.1.conv2.weight,8.713210105895996
layer4.1.bn2.weight,1.4663664102554321
layer4.1.bn2.bias,1.25035560131073
fc.weight,11.99062442779541
fc.bias,0.04180559888482094
