model,split,loss,acc
full,forget_train_subset,2.304630524233768,41.561116259911444
full,retain_train_subset,2.2113756371962787,44.957857546323474
oracle,forget_train_subset,3.5797389620228817,17.176397899289466
oracle,retain_train_subset,2.184307242419159,45.208164892733336
unlearn,forget_train_subset,2.9756847620010376,28.9362578519205
unlearn,retain_train_subset,1.0704356660755092,72.60795888757212
