fc_weight_l2_distance,fc_bias_l2_distance,round,tag
10.790274620056152,0.122721366584301,1,oracle_vs_full
10.627226829528809,0.12024478614330292,2,oracle_vs_full
10.43268871307373,0.11722006648778915,3,oracle_vs_full
10.232307434082031,0.11367529630661011,4,oracle_vs_full
10.040663719177246,0.110578253865242,5,oracle_vs_full
9.866599082946777,0.1078474298119545,6,oracle_vs_full
9.716557502746582,0.10519776493310928,7,oracle_vs_full
9.584793090820312,0.10227619111537933,8,oracle_vs_full
9.472342491149902,0.09856629371643066,9,oracle_vs_full
9.37221622467041,0.09615135937929153,10,oracle_vs_full
9.286606788635254,0.0940774530172348,11,oracle_vs_full
9.212850570678711,0.09147262573242188,12,oracle_vs_full
9.147948265075684,0.08780670166015625,13,oracle_vs_full
9.094515800476074,0.08591224998235703,14,oracle_vs_full
9.04766845703125,0.08353964239358902,15,oracle_vs_full
9.008218765258789,0.08056960254907608,16,oracle_vs_full
8.973809242248535,0.07870693504810333,17,oracle_vs_full
8.9492769241333,0.07608544081449509,18,oracle_vs_full
8.928560256958008,0.07419455796480179,19,oracle_vs_full
8.912392616271973,0.07250764220952988,20,oracle_vs_full
8.90280818939209,0.06982925534248352,21,oracle_vs_full
8.898696899414062,0.06738974899053574,22,oracle_vs_full
8.89951229095459,0.06518356502056122,23,oracle_vs_full
8.905845642089844,0.06299399584531784,24,oracle_vs_full
8.917133331298828,0.060817427933216095,25,oracle_vs_full
8.929391860961914,0.05902324989438057,26,oracle_vs_full
8.945464134216309,0.05674338340759277,27,oracle_vs_full
8.964625358581543,0.054860733449459076,28,oracle_vs_full
8.986873626708984,0.05314663052558899,29,oracle_vs_full
9.012988090515137,0.05095675587654114,30,oracle_vs_full
9.043415069580078,0.04977259039878845,31,oracle_vs_full
9.074100494384766,0.047744181007146835,32,oracle_vs_full
9.107857704162598,0.045195747166872025,33,oracle_vs_full
9.143479347229004,0.04419199377298355,34,oracle_vs_full
9.182374000549316,0.042647335678339005,35,oracle_vs_full
9.224365234375,0.04082363843917847,36,oracle_vs_full
9.268314361572266,0.03934650868177414,37,oracle_vs_full
9.316437721252441,0.0375911146402359,38,oracle_vs_full
9.364107131958008,0.03679127246141434,39,oracle_vs_full
9.41395378112793,0.03484553471207619,40,oracle_vs_full
9.465837478637695,0.03429093956947327,41,oracle_vs_full
9.519762992858887,0.03336451202630997,42,oracle_vs_full
9.574126243591309,0.032154422253370285,43,oracle_vs_full
9.630590438842773,0.03148408979177475,44,oracle_vs_full
9.688140869140625,0.03145938366651535,45,oracle_vs_full
9.748311996459961,0.030745090916752815,46,oracle_vs_full
9.809006690979004,0.029889170080423355,47,oracle_vs_full
9.87048625946045,0.029920944944024086,48,oracle_vs_full
9.932048797607422,0.02971576526761055,49,oracle_vs_full
9.993902206420898,0.029739614576101303,50,oracle_vs_full
