model,threshold,member_mean_conf,nonmember_mean_conf,mia_acc
full,0.5,0.3309474563840464,0.33640590067766607,0.5003297651057785
oracle,0.5,0.2865713609327078,0.34168609714359044,0.4639541372837502
unlearn,0.5,0.4564762615030316,0.5038423586633056,0.464968799147684
