model,val_acc,forget_acc,retain_acc,mia_acc,distance_to_oracle
full,35.95,41.561116259911444,44.957857546323474,0.5003297651057785,32.17138788794981
oracle,33.66,17.176397899289466,45.208164892733336,0.4639541372837502,32.17138788794981
unlearn,40.72,28.9362578519205,72.60795888757212,0.464968799147684,35.20827827658755
