round,train_loss,train_acc,val_loss,val_acc
1,2.0420355851729655,48.94283910553888,2.550415324259408,39.82
2,1.9257396901439556,51.46917121687027,2.557480552528478,39.8
3,1.8373327510395767,53.4417260131356,2.5344381392756596,40.56
4,1.754304387736709,55.22931918616886,2.538294208200672,40.57
5,1.6768450793604914,57.035740787914364,2.5453436797178246,40.67
6,1.6009345233736099,58.94294986100189,2.5554235056985783,40.43
7,1.5308769844171428,60.74494124422687,2.5810063277618793,40.4
8,1.452873257607285,62.58680459413661,2.588170904147474,40.42
9,1.382834620546737,64.23706099303348,2.604288288309604,40.46
10,1.3067059876393292,66.3126183699011,2.63621937474118,40.72
