model,threshold,member_mean_conf,nonmember_mean_conf,member_acc,nonmember_acc,mia_acc
full_ckks,0.1191314169224351,0.1141395502500236,0.1241232835948467,0.342,0.677,0.5095000000000001
oracle_ckks,0.3256393574662506,0.2865909832566976,0.3646877316758036,0.32,0.568,0.4439999999999999
unlearn_ckks,0.1705220349933952,0.1575788923613727,0.1834651776254177,0.324,0.652,0.488
