model,val_acc,forget_acc,retain_acc
full_ckks,16.68,15.189206282281017,17.21852109641709
oracle_ckks,35.15,20.75471698113208,46.69384508302674
unlearn_ckks,22.73,11.636976915779488,25.781931877188917
