round,avg_client_train_loss,avg_client_train_acc,global_val_loss,global_val_acc,avg_update_l2,total_encrypt_time_sec,aggregation_time_sec,decrypt_time_sec,total_ciphertext_bytes,num_retained_clients
1,3.6952651784186283,13.300168366994184,5.424582237243652,0.5,709.5254137070509,79.61516737937927,14.160453081130981,1.6126809120178223,8294736406,9
2,3.5477619263094424,16.02095944282566,5.332556230163574,0.69,706.3659279800839,77.05403208732605,13.948089361190796,1.6314923763275146,8294737516,9
3,3.3593024630724653,19.78309337577023,5.01880470123291,2.67,705.718334853135,76.75806474685669,13.79339337348938,1.6389994621276855,8294690127,9
4,3.1669570294336746,23.489935311081556,4.783264928436279,4.56,705.4967993825475,76.26307106018066,13.518097877502441,1.6557095050811768,8294724234,9
5,3.019535836262624,26.114819820208524,4.521095475006104,8.4,705.4411558739803,76.27205276489258,13.774745464324951,1.6087393760681152,8294747010,9
6,2.886071490265798,28.7286952372125,4.367534910583496,9.06,705.4139847483337,76.40434885025024,13.272273063659668,1.6157703399658203,8294779811,9
7,2.763287898579783,31.348679091871492,4.174194688034057,11.78,705.3807036114633,76.91488075256348,13.760179996490479,1.6580445766448975,8294722148,9
8,2.6771532275180037,32.75043036947675,4.039326327896118,13.18,705.3597391372116,76.63069581985474,13.437363386154175,1.6531126499176025,8294749625,9
9,2.59582050414023,34.71026451296356,3.930700919342041,14.28,705.3368349228094,76.64964985847473,13.65329623222351,1.6379830837249756,8294678557,9
10,2.5262371369133927,35.97881315476482,3.830627107620239,16.1,705.3212259676752,75.93143916130066,13.308876276016235,1.625335454940796,8294729238,9
11,2.4604187602753047,37.41258272957484,3.725253514480591,17.66,705.3117733043175,76.17184495925903,13.49178671836853,1.6323130130767822,8294789294,9
12,2.4015289487761033,38.611121083881514,3.672115365219116,18.33,705.2965783845851,75.98948192596436,13.292052030563354,1.6281163692474365,8294694660,9
13,2.3606767501974173,39.5661895705496,3.5876011753082278,19.74,705.2934319044111,76.17225337028503,13.502185106277466,1.6026768684387207,8294705670,9
14,2.3073188385375882,40.659587735475206,3.545995473098755,20.78,705.2810361249791,76.1140706539154,13.335569381713867,1.638336181640625,8294781310,9
15,2.260140643675636,41.698768130834814,3.4994203605651855,21.05,705.2755868721,75.8625922203064,13.4669771194458,1.628267765045166,8294772176,9
16,2.2207082837948833,42.42102809946644,3.449557666397095,21.56,705.2712410958221,75.3004138469696,13.086931467056274,1.6053555011749268,8294711509,9
17,2.182955736887604,43.373213674983035,3.41157254447937,22.5,705.271251476472,75.24163579940796,13.342550277709961,1.5858516693115234,8294707428,9
18,2.149297050666071,44.14131313486049,3.3715423133850098,23.27,705.2636061194659,75.98091864585876,13.345557451248169,1.6253180503845215,8294739284,9
19,2.1121398638042077,44.90820414240733,3.315772891616821,23.91,705.256135124225,76.03490495681763,13.54682731628418,1.6278228759765625,8294777693,9
20,2.0846204525995966,45.83091436410445,3.290778254318237,24.65,705.2554089415869,76.0872094631195,13.241683959960938,1.6226487159729004,8294727925,9
21,2.052271796197023,46.40849995447855,3.268371098327637,24.44,705.2519530962542,75.99666333198547,13.446464776992798,1.6206436157226562,8294765981,9
22,2.0128225858158904,47.26693164468647,3.220752079963684,25.46,705.2494556673045,76.30118346214294,13.266811609268188,1.621638298034668,8294751268,9
23,1.9909662294308523,47.70118274825009,3.1863104888916016,26.48,705.2448936505409,76.24284720420837,13.547746419906616,1.6046013832092285,8294706868,9
24,1.9571147386741852,48.50588460811383,3.1663403629302977,26.94,705.2385326784349,75.43188261985779,13.069712162017822,1.6086254119873047,8294804527,9
25,1.9352464296624754,49.06443319760212,3.1326349784851075,27.6,705.2403321457537,75.96903872489929,13.528326272964478,1.627802848815918,8294743199,9
26,1.8992804007646258,49.85833565706094,3.12294048538208,27.82,705.2396549165178,76.2227189540863,13.232195377349854,1.6199915409088135,8294698254,9
27,1.8813020038362953,50.28388437848228,3.07675482673645,28.51,705.2358462926289,75.94900584220886,13.472981929779053,1.6185188293457031,8294686332,9
28,1.8514733096407119,50.838887417804976,3.0608935012817384,29.11,705.2332956457194,76.21132159233093,13.200116634368896,1.624192714691162,8294692472,9
29,1.8266273852606187,51.45459357703071,3.033133899307251,29.18,705.2300303638198,76.07109236717224,13.659857273101807,1.6163687705993652,8294741880,9
30,1.800478733481243,52.15121545744759,3.0263711721420288,29.49,705.2292611727605,76.29698300361633,13.321940898895264,1.6063764095306396,8294676899,9
31,1.7791345892897965,52.55615958292932,3.011623641586304,29.72,705.227011485295,76.19096994400024,13.42421269416809,1.6005151271820068,8294704167,9
32,1.760830896563449,52.88130103496749,2.994910514831543,29.99,705.2278715843555,75.3709282875061,13.178150415420532,1.6048016548156738,8294707072,9
33,1.73169901579311,53.543670898641025,2.964461516571045,31.05,705.2236591000732,75.92877006530762,13.498895406723022,1.6281189918518066,8294770131,9
34,1.7165259281146974,54.024141419545394,2.940240024757385,30.93,705.2237075424716,76.17175960540771,13.193742990493774,1.640124797821045,8294738520,9
35,1.695841252419372,54.54838388803231,2.9273071697235107,31.32,705.2205641014956,75.9791910648346,13.725005865097046,1.625472068786621,8294738125,9
36,1.665748160606305,55.329502869104175,2.9068786558151247,31.66,705.2191297301516,76.45008778572083,13.311106204986572,1.6184048652648926,8294728466,9
37,1.6521501487300556,55.37921458056699,2.8952395915985107,32.15,705.2172710826981,76.16586589813232,13.616013526916504,1.6259090900421143,8294732401,9
38,1.6318289589468389,55.970655511460315,2.894184390258789,31.77,705.2175576447697,77.28032565116882,13.709598302841187,1.6358938217163086,8294686247,9
39,1.6117026680368556,56.51007687551221,2.8803338230133058,32.44,705.2147678033632,81.26202130317688,14.087674617767334,1.660414695739746,8294728567,9
40,1.5860614780426259,56.99162604256703,2.866518023490906,32.5,705.2140842658102,78.70157790184021,13.821261644363403,1.6991479396820068,8294709378,9
41,1.5709488848733284,57.45933021165464,2.864191328048706,32.87,705.2126900165845,78.76370406150818,14.59114122390747,1.7294728755950928,8294702471,9
42,1.548071176763895,58.06322405536356,2.831442050361633,33.1,705.2123094521316,78.61603736877441,14.23417067527771,1.642432689666748,8294689302,9
43,1.5323633250292497,58.10054491666694,2.8224867534637452,33.45,705.2117201611694,79.25451016426086,13.876497507095337,1.6509459018707275,8294722777,9
44,1.512696521433348,58.90774382007333,2.810846131134033,33.63,705.209968231348,79.3068437576294,13.795916318893433,1.6484179496765137,8294779950,9
45,1.4955322863627665,59.186761540323154,2.7888212266921997,34.0,705.2090334243871,79.79436326026917,13.780158281326294,1.6218433380126953,8294729013,9
46,1.483157920268323,59.66461007278586,2.7914011156082155,33.96,705.2067894170364,77.53449773788452,13.619776248931885,1.6381940841674805,8294711499,9
47,1.4566871131971768,60.18173761019383,2.781797211265564,34.35,705.2092997474543,77.05085253715515,13.666057348251343,1.6403157711029053,8294816364,9
48,1.4445862251125745,60.551521892434444,2.7867491788864136,34.15,705.2059416385812,77.08389639854431,13.37369990348816,1.6475696563720703,8294757939,9
49,1.4391701113426574,60.58753448305179,2.775713091468811,34.38,705.2071012694585,76.85788559913635,13.400203943252563,1.6416456699371338,8294672733,9
50,1.4114160683816988,61.23661779313031,2.7474633047103882,35.15,705.2057619513355,77.98255252838135,13.306533813476562,1.6181302070617676,8294753369,9
