model,split,loss,acc
full,forget,2.2369473827890602,44.54597372929754
full,retain,2.2228386543478282,44.600755357901086
oracle,forget,3.6021333889788894,18.951075575861413
oracle,retain,2.1539132847104754,45.87234898428945
unlearn,forget,3.60535135039364,23.072529982866932
unlearn,retain,1.4641563584123338,61.59742552573357
