fc_weight_l2_distance,fc_bias_l2_distance,round,tag
10.787063598632812,0.12483353912830353,1,oracle_vs_full
10.627922058105469,0.12255577743053436,2,oracle_vs_full
10.439397811889648,0.12035010010004044,3,oracle_vs_full
10.248518943786621,0.11683608591556549,4,oracle_vs_full
10.064238548278809,0.1130848228931427,5,oracle_vs_full
9.898905754089355,0.11111924797296524,6,oracle_vs_full
9.757421493530273,0.10831432789564133,7,oracle_vs_full
9.629453659057617,0.10532800108194351,8,oracle_vs_full
9.519887924194336,0.10191518813371658,9,oracle_vs_full
9.423100471496582,0.09926387667655945,10,oracle_vs_full
9.339810371398926,0.09700818359851837,11,oracle_vs_full
9.270200729370117,0.09431639313697815,12,oracle_vs_full
9.209752082824707,0.09160107374191284,13,oracle_vs_full
9.159603118896484,0.08848196268081665,14,oracle_vs_full
9.11594009399414,0.0870746448636055,15,oracle_vs_full
9.081389427185059,0.08401709049940109,16,oracle_vs_full
9.054021835327148,0.0818122923374176,17,oracle_vs_full
9.031600952148438,0.0798579603433609,18,oracle_vs_full
9.01644229888916,0.07708366960287094,19,oracle_vs_full
9.00322437286377,0.07561502605676651,20,oracle_vs_full
8.998640060424805,0.07314752042293549,21,oracle_vs_full
8.999011039733887,0.07107826322317123,22,oracle_vs_full
9.003366470336914,0.06885294616222382,23,oracle_vs_full
9.011676788330078,0.06657423079013824,24,oracle_vs_full
9.022854804992676,0.06466719508171082,25,oracle_vs_full
9.03787612915039,0.06259243935346603,26,oracle_vs_full
9.057125091552734,0.060960087925195694,27,oracle_vs_full
9.080465316772461,0.059058334678411484,28,oracle_vs_full
9.106571197509766,0.05719896778464317,29,oracle_vs_full
9.136852264404297,0.05512635409832001,30,oracle_vs_full
9.16829776763916,0.05330720916390419,31,oracle_vs_full
9.20369815826416,0.051391083747148514,32,oracle_vs_full
9.239709854125977,0.04954066500067711,33,oracle_vs_full
9.276970863342285,0.048290103673934937,34,oracle_vs_full
9.31953239440918,0.046344101428985596,35,oracle_vs_full
9.3615140914917,0.04397839307785034,36,oracle_vs_full
9.407532691955566,0.042854491621255875,37,oracle_vs_full
9.457046508789062,0.041368067264556885,38,oracle_vs_full
9.50710391998291,0.04048767313361168,39,oracle_vs_full
9.559967994689941,0.039062757045030594,40,oracle_vs_full
9.614867210388184,0.037628497928380966,41,oracle_vs_full
9.668500900268555,0.03611107915639877,42,oracle_vs_full
9.724745750427246,0.035488542169332504,43,oracle_vs_full
9.781767845153809,0.03428545594215393,44,oracle_vs_full
9.840249061584473,0.033960629254579544,45,oracle_vs_full
9.8999605178833,0.032616619020700455,46,oracle_vs_full
9.96045207977295,0.03181828558444977,47,oracle_vs_full
10.022384643554688,0.0314457081258297,48,oracle_vs_full
10.085297584533691,0.03093848004937172,49,oracle_vs_full
10.150972366333008,0.030336838215589523,50,oracle_vs_full
